鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,建物,桃園市桃園區泰昌十二街１２３號４樓,0.0,其他,,,1100630,土地0建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830915,153.19,3,2,2,有,有,有,16000,104,坡道平面,0.0,2000,社會住宅管理費另計＄2000,RPXQMLSJPHGGFAH76CC
桃園區,房地(土地+建物)+車位,桃園市桃園區春日路１４７７號１４樓,27.58,住,,,1100706,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951116,130.81,3,2,2,有,有,有,25000,191,坡道平面,31.1,0,,RPPRMLSJPHGGFAH68CC
桃園區,建物,桃園市桃園區吉安一街１９３號１７樓,0.0,其他,,,1100630,土地0建物1車位1,十七層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070323,106.37,1,2,1,有,無,有,18900,178,坡道平面,0.0,2400,社會住宅,RPQRMLSJPHGGFAH78CC
桃園區,建物,桃園市桃園區民生路２８６號８樓之１,0.0,商,,,1100621,土地0建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710219,61.14,2,1,1,有,有,有,11700,191,,0.0,0,管理費由承租人負擔每月650元整,RPSRMLSJPHGGFAH98CC
桃園區,建物,桃園市桃園區慈光街７４號２樓,0.0,住,,,1100624,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840322,100.84,3,1,2,有,無,有,9900,98,,0.0,0,社會住宅,RPTRMLSJPHGGFAH09CC
桃園區,房地(土地+建物),桃園市桃園區安東街３９號二樓之１６,11.37,商,,,1100705,土地1建物1車位0,二層,6,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0690826,60.1,2,2,1,有,無,有,12000,200,,0.0,0,,RPRNMLTJPHGGFAH58CC
桃園區,房地(土地+建物)+車位,桃園市桃園區新埔三街３８巷１６號７樓,16.84,住,,,1100625,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070529,117.68,2,1,1,有,有,有,19800,200,坡道平面,33.7,3000,管理費由承租人負擔每月1924元整,RPSQMLTJPHGGFAH98CC
桃園區,建物,桃園市桃園區復興路８３號１１樓之２６,0.0,商,,,1100705,土地0建物1車位0,十一層,12,套房(1房1廳1衛),套房．辦公室,鋼筋混凝土造,0691007,32.65,0,0,0,無,無,有,7500,230,,0.0,0,社會住宅,RPTQMLTJPHGGFAH09CC
桃園區,建物,桃園市桃園區鎮三街４５號五樓,0.0,住,,,1100629,土地0建物0車位0,五層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830513,50.24,1,1,1,有,有,有,11000,219,,0.0,0,部分承租。租金含管理費。,RPTRMLTJPHGGFAH56CC
楊梅區,建物,桃園市楊梅區快速路五段８２５巷４６弄１２號３樓,0.0,,一般農業區,甲種建築用地,1100625,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830915,107.62,2,1,1,有,無,有,6500,60,,0.0,0,,RPPPMLTJPHGGFDH88CC
楊梅區,建物,桃園市楊梅區福德街９巷２６號,0.0,住,,,1100625,土地0建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810616,73.55,2,1,1,有,有,有,11600,158,,0.0,0,管理費由承租人負擔每月500元整,RPSPMLTJPHGGFDH56CC
蘆竹區,建物,桃園市蘆竹區南福街１６１號三樓之２,0.0,住,,,1100628,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820522,100.92,2,2,1,有,有,有,16000,159,,0.0,0,租金含管理費。,RPSNMLTJPHGGFEH09CC
大園區,建物,桃園市大園區文興街８９號,0.0,住,,,1100624,土地0建物1車位0,全,4,透天厝,住宅、停車空間,鋼筋混凝土造,0941102,219.74,4,2,2,有,無,有,24000,109,,0.0,0,,RPURMLTJPHGGFEH07CC
