鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
芬園鄉,房地(土地+建物),彰化縣芬園鄉成功路,103.28,住,,,1111025,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,152.06,4,2,5,有,無,15500000,101933,,0.0,0,,RPTNMLLLJIHGFAN28CB,百居薰園,B棟7號
社頭鄉,房地(土地+建物)+車位,彰化縣社頭鄉高鐵北二路,81.64,住,,,1111104,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,171.29,4,3,3,有,無,14700000,85819,一樓平面,0.0,0,原建照字號為：110府建管建字第0338282號變更後建照為：111府建管建字第0240131號,RPPNMLLLJIHGFEN28CB,榮彰高鐵升之泰,A棟8號
社頭鄉,房地(土地+建物)+車位,彰化縣社頭鄉高鐵北二路,97.7,住,,,1111031,土地3建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,171.17,4,3,3,有,無,12550000,73319,一樓平面,0.0,0,原建照字號為：110府建管建字第0338282號變更後建照為：111府建管建字第0240131號,RPQNMLLLJIHGFEN38CB,榮彰高鐵升之泰,B棟5號
埤頭鄉,房地(土地+建物),彰化縣埤頭鄉永豐段643-50地號,28.45,住,,,1111026,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.76,2,2,1,有,無,4800000,62533,,0.0,0,,RPPNMLLLJIHGFFN38CB,富雄晶品十三期,1棟F2號
埤頭鄉,房地(土地+建物)+車位,彰化縣埤頭鄉永豐段643-50地號,26.62,住,,,1111027,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.89,2,2,1,有,無,5500000,65628,一樓平面,13.75,700000,,RPQNMLLLJIHGFFN48CB,富雄晶品十三期,1棟H3號
彰化市,房地(土地+建物),彰化縣彰化市溪東路203-32號旁,194.15,,山坡地保育區,丙種建築用地,1111103,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,249.41,3,2,4,有,無,20450000,81994,,0.0,0,,RPPNMLMLJIHGFAN97CB,京東VILLA,B棟0號
花壇鄉,房地(土地+建物)+車位,彰化縣花壇鄉金墩街,21.5,,鄉村區,乙種建築用地,1111030,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.41,2,2,1,有,無,8180000,81669,坡道平面,25.78,1350000,,RPQNMLMLJIHGFAN08CB,亞哥之緒,甲棟A5號
花壇鄉,房地(土地+建物)+車位,彰化縣花壇鄉金墩街,26.69,,鄉村區,乙種建築用地,1111101,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.66,3,2,2,有,無,9870000,81055,坡道平面,25.78,1450000,,RPRNMLMLJIHGFAN18CB,亞哥之緒,甲棟B3號
花壇鄉,房地(土地+建物)+車位,彰化縣花壇鄉金墩街,19.55,,鄉村區,乙種建築用地,1111101,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.82,1,2,1,有,無,7350000,80242,坡道平面,23.8,1250000,,RPSNMLMLJIHGFAN28CB,亞哥之緒,甲棟C3號
花壇鄉,房地(土地+建物)+車位,彰化縣花壇鄉金墩街,21.4,,鄉村區,乙種建築用地,1111101,土地1建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.98,2,2,1,有,無,8570000,85577,坡道平面,25.78,1450000,,RPTNMLMLJIHGFAN38CB,亞哥之緒,乙棟J9號
