鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段１６７號４樓,32.36,住,,,1110922,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011101,152.8,3,2,2,有,有,有,30000,196,坡道平面,33.29,0,,RPPOMLNKIIHGFEF67CC
淡水區,房地(土地+建物),新北市淡水區新春街１２５巷５３號,25.31,住,,,1111004,土地1建物1車位0,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850104,108.8,1,2,2,有,無,有,19000,175,,0.0,0,,RPXOMLNKIIHGFEF48CC
三芝區,建物,新北市三芝區樂全街１１８號十樓,0.0,,山坡地保育區,丙種建築用地,1110924,土地0建物1車位0,十層,,套房(1房1廳1衛),,,,42.58,1,0,1,有,有,有,6500,153,,0.0,0,每月水電瓦斯、網路費由承租人另外負擔。,RPRPMLNKIIHGFEF97CC
淡水區,房地(土地+建物),新北市淡水區民權路２５號３樓之２２,6.01,工,,,1110927,土地1建物1車位0,三層,24,住宅大樓(11層含以上有電梯),一般服務業,鋼筋混凝土造,0971223,54.42,0,0,0,無,無,有,19000,349,,0.0,0,,RPUPMLNKIIHGFEF28CC
淡水區,房地(土地+建物),新北市淡水區民權路１９號９樓之１７,8.51,工,,,1111008,土地1建物1車位0,九層,24,住宅大樓(11層含以上有電梯),一般服務業,鋼筋混凝土造,0971223,76.43,0,0,0,無,無,有,23000,301,,0.0,0,,RPXPMLNKIIHGFEF58CC
淡水區,房地(土地+建物),新北市淡水區民權路２３號７樓之１２,7.15,工,,,1111012,土地1建物1車位0,七層,24,住宅大樓(11層含以上有電梯),一般服務業,鋼筋混凝土造,0971223,65.95,0,0,0,無,有,有,21000,318,,0.0,0,,RPOQMLNKIIHGFEF77CC
淡水區,建物,新北市淡水區公明街８３號四樓,0.0,商,,,1110930,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0890106,56.81,2,1,2,有,無,有,8000,141,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為8889元，選擇代管方案須打9折，實際租賃契約金額為8000元。每月水電瓦斯、網路費由承租人負擔。,RPRQMLNKIIHGFEF08CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段２２３號８樓,7.79,商,,,1111006,土地1建物1車位1,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525,104.32,3,1,1,有,有,有,21000,201,坡道機械,15.23,0,,RPSQMLNKIIHGFEF18CC
淡水區,建物,新北市淡水區英專路１８２號地下一層之３,0.0,住,,,1110915,土地0建物1車位0,地下一層,13,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0930603,37.81,1,1,1,有,有,有,7500,198,,0.0,0,,RPUQMLNKIIHGFEF38CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段３２６號４樓,19.02,住,,,1111007,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040515,157.0,3,2,2,有,有,有,20000,127,坡道平面,34.68,0,,RPVQMLNKIIHGFEF48CC
新店區,建物,新北市新店區中興路三段３２３號,0.0,住,,,1110929,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,84.8,1,1,1,有,無,有,15000,177,,0.0,0,水電瓦斯費由承租人負擔。,RPPNMLNKIIHGFCF37CC
板橋區,建物,新北市板橋區南雅東路８號十樓之二十六,0.0,商,,,1110930,土地0建物1車位0,十層,11,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0861121,46.28,1,1,1,有,有,有,23000,497,,0.0,0,,RPUNMLNKIIHGFAF67CC
板橋區,建物,新北市板橋區篤行路三段３２號七樓,0.0,住,,,1110915,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841019,47.89,1,1,1,有,有,有,9500,198,,0.0,0,,RPQOMLNKIIHGFAF37CC
板橋區,建物,新北市板橋區三民路二段８１巷４１號五樓,0.0,住,,,1110928,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680725,106.49,3,2,2,有,無,有,18000,169,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金20000元，選擇代租方案須打九折，實際租賃契約金額為18000元。水電費、瓦斯費由承租人負擔。,RPOPMLNKIIHGFAF27CC
土城區,建物,新北市土城區中央路四段２７巷１０弄１５號二樓,0.0,工,,,1111007,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0730130,72.9,3,2,1,有,無,有,15000,206,,0.0,0,,RPXPMLNKIIHGFAF18CC
板橋區,建物,新北市板橋區南雅東路１之７號九樓,0.0,住,,,1111003,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960809,55.98,1,1,1,有,有,有,21000,375,,0.0,0,此物件加入新北市社會住宅包租代管計畫，評定市價租金為27500元，包租包管方案打八折為22000元，以21000元為簽訂租賃契約租金。,RPPPMLOKIIHGFAF47CC
土城區,房地(土地+建物),新北市土城區中央路一段２７０號十六樓之１,15.27,商,,,1111011,土地1建物1車位0,十六層,32,辦公商業大樓,辦公室,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,101.33,0,0,0,無,有,有,29000,286,,0.0,0,,RPQPMLOKIIHGFAF57CC
土城區,建物,新北市土城區金城路三段２４３號７樓,0.0,住,,,1110817,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830802,115.68,0,0,0,無,有,有,25000,216,,0.0,0,包含機車位一個，撤銷原申報書序號:C1FA11109010038,RPWRMLOKIIHGFAF38CC
板橋區,建物,新北市板橋區金門街２５３巷２弄１８號二樓,0.0,住,,,1111006,土地0建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821119,99.77000000000001,3,2,2,有,有,有,20000,200,,0.0,0,,RPRTMLOKIIHGFAF08CC
土城區,建物,新北市土城區裕民路２４４號６樓,0.0,住,,,1111003,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820924,87.02,3,1,1,有,有,有,20000,230,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金22223元，選擇代管方案須打九折，實際租賃契約金額為20000元。水電費、瓦斯費及每月管理費550元皆由承租人負擔。,RPTTMLOKIIHGFAF28CC
板橋區,建物,新北市板橋區南雅東路２７之１５號６樓,0.0,住,,,1110915,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960814,59.64,2,1,1,有,有,有,22000,369,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為24500，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額22000。管理費每月1500元,RPVTMLOKIIHGFAF48CC
新店區,房地(土地+建物)+車位,新北市新店區中正路４９５號.４９５-１號２樓,51.72,工,,,1110920,土地1建物1車位1,二層,10,廠辦,工業用,鋼筋混凝土造,0790109,219.98000000000002,0,0,0,無,無,無,56889,259,坡道平面,0.0,0,,RPQPMLOKIIHGFCF77CC
新店區,房地(土地+建物),新北市新店區寶橋路２３５巷１２３-２號１樓,140.08,工,,,1110921,土地1建物1車位0,一層,8,廠辦,工業用,鋼筋混凝土造,0881004,258.14,0,0,0,無,無,無,85855,333,,0.0,0,,RPRPMLOKIIHGFCF87CC
新店區,建物,新北市新店區民權路１６號４樓,0.0,住,,,1110930,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730217,96.89,3,2,1,有,無,有,25000,258,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為27778元，選擇代管方案須打9折，實際租賃契約金額為25000元。每月水電瓦斯費由承租人負擔。,RPVPMLOKIIHGFCF28CC
淡水區,建物,新北市淡水區大忠街１１７號九樓之１５,0.0,住,,,1110930,土地0建物1車位0,九層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830629,32.36,1,1,1,有,有,有,7700,238,,0.0,0,此物件加入新北市社會住宅包租代管計畫，評定市價租金為9625元，包租包管方案打八折為7700元，以7700元為簽訂租賃契約租金。,RPTNMLOKIIHGFEF08CC
淡水區,房地(土地+建物)+車位,新北市淡水區自立路１巷３１號１２樓,0.0,其他,,,1110823,土地0建物1車位1,十二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861203,95.77000000000001,1,1,1,有,有,有,16000,259,坡道平面,41.62,2000,,RPXNMLOKIIHGFEF48CC
淡水區,建物,新北市淡水區中正東路一段３巷１４弄１７號八樓,0.0,工,,,1111009,土地0建物1車位0,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961121,112.36000000000001,3,2,2,有,有,有,23000,205,,0.0,0,租金含管理費。租賃範圍不含車位，已扣除車位面積。,RPOPMLOKIIHGFEF77CC
淡水區,建物,新北市淡水區竿蓁二街３４巷５號４樓,0.0,住,,,1111004,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780107,107.07000000000001,3,2,2,有,無,有,20000,187,,0.0,0,此物件加入新北市社會住宅包租代管計畫，評定市價租金為22223元，代租代管方案打九折為20000元，以20000元為簽訂租賃契約租金。,RPRRMLOKIIHGFEF28CC
淡水區,建物,新北市淡水區後洲路一段１６３號７樓,0.0,住,,,1110930,土地0建物1車位0,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990208,151.5,4,2,2,有,有,有,12000,79,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金13334元，選擇代管方案須打九折，實際租賃契約金額為12000元。水電費、瓦斯費及每月管理費2133元皆由承租人負擔。,RPTRMLOKIIHGFEF48CC
淡水區,建物,新北市淡水區新春街１１２之２號十一樓,0.0,住,,,1110930,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100708,87.41,2,2,1,有,有,有,20000,229,,0.0,0,租金含管理費。,RPSSMLOKIIHGFEF48CC
淡水區,建物,新北市淡水區仁愛街１巷２０號四樓,0.0,住,,,1110930,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660811,74.9,2,1,2,有,無,有,10000,134,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為11112元，選擇代管方案須打9折，實際租賃契約金額為10000元。每月水電費由承租人負擔。,RPTSMLOKIIHGFEF58CC
淡水區,建物,新北市淡水區中正東路二段８３號十八樓之１０,0.0,商,,,1110930,土地0建物1車位0,十八層,26,套房(1房1廳1衛),住家用,鋼骨混凝土造,0920922,48.620000000000005,1,0,1,有,有,有,13500,278,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為15000元，選擇代管方案須打9折，實際租賃契約金額為13500元。水電費及每月管理費1559元由承租人負擔。,RPUSMLOKIIHGFEF68CC
汐止區,房地(土地+建物),新北市汐止區大同路三段６１３號２６樓之１,6.64,住,,,1110914,土地1建物1車位0,二十六層,33,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,75.49000000000001,2,2,1,有,有,有,15000,199,,0.0,0,含管理費。撤銷重報，原申報書序號C1FD11110110016。,RPWNMLOKIIHGFDF48EC
蘆洲區,建物,新北市蘆洲區信義路３０巷１２７號,0.0,住,,,1110924,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0580909,68.6,1,2,1,有,無,有,20000,292,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為22223元，選擇代管方案須打9折，實際租賃契約金額為20000元。水電瓦斯費由承租人負擔。,RPRQMLOKIIHGFGF38CC
蘆洲區,建物,新北市蘆洲區民族路２５７巷１３號三樓,0.0,住,,,1111006,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701216,101.0,3,1,2,有,無,有,10000,99,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金11112元，選擇代租方案須打九折，實際租賃契約金額為10000元。水電費、瓦斯費由承租人負擔。,RPQRMLOKIIHGFGF38CC
三重區,建物,新北市三重區中華路５０巷１弄２０號２樓,0.0,住,,,1110930,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0600501,63.38,2,1,1,有,無,有,23000,363,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金25556元，選擇代管方案須打九折，實際租賃契約金額為23000元。水電費、瓦斯費皆由承租人負擔。,RPURMLOKIIHGFGF78CC
樹林區,土地,佳園段635地號,1526.36,其他,,,1111012,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,126000,83,,0.0,0,,RPPOMLOKIIHGFIF18CC
樹林區,房地(土地+建物),新北市樹林區學勤路５９５號,23.01,住,,,1111013,土地1建物1車位0,一層,15,店面(店鋪),店舖、集合住宅,鋼筋混凝土造,1000317,153.53,0,0,0,無,有,有,57500,375,,0.0,0,,RPVOMLOKIIHGFIF78CC
鶯歌區,建物,新北市鶯歌區鳳吉一街２０７號１０樓,0.0,住,,,1110930,土地0建物1車位0,十層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1081022,124.00999999999999,3,2,2,有,有,有,22000,177,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金24445元，選擇代管方案須打九折，實際租賃契約金額為22000元。水電費、瓦斯費皆由承租人負擔。,RPXOMLOKIIHGFIF98CC
鶯歌區,建物,新北市鶯歌區重慶街１０巷２６弄４號三樓,0.0,商,,,1111006,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700703,74.41,3,2,1,有,無,有,16000,215,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為17778元，選擇代租方案須打九折，實際租賃契約金額為16000元。水電費、瓦斯費、網路費皆由承租人負擔。,RPSPMLOKIIHGFIF58CC
五股區,建物,新北市五股區新五路三段３３０號十六樓,0.0,商,,,1111001,土地0建物1車位1,十六層,19,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100209,149.95,3,2,2,有,有,有,29280,230,坡道平面,35.85,3000,本案僅建物部份屬國家住宅及都市更新中心辦理社會住宅包租代管第3期計劃,RPRNMLOKIIHGFBF57CC
